50.5 NA NA
144.59 NA NA
238.68 NA NA
339.8 NA NA
433.89 NA NA
534.05 NA NA
631.18 NA NA
726.95 NA NA
822.47 NA NA
901.7272727272727 924.2241379310345 921.5555555555555
993.5 1000.9166666666666 1001.5540540540541
1055.2727272727273 1107.0425531914893 1090.047619047619
1131.4166666666667 1204.65 1177.6458333333333
1207.9285714285713 1290.85 1261.4347826086957
1299.5625 1369.1764705882354 1353.74
1377.5882352941176 1459.4594594594594 1432.4782608695652
1502.7222222222222 1542.1351351351352 1515.6818181818182
1567.7142857142858 1625.7692307692307 1641.6382978723404
1687.5 1709.6666666666667 1729.2432432432433
1768.625 1820.060606060606 1792.7380952380952
1842.3181818181818 1905.8857142857144 1873.0238095238096
1931.2307692307693 2001.7105263157894 1946.7714285714285
2013.6296296296296 2115.6315789473683 2030.7714285714285
2100.695652173913 2206.8695652173915 2098.4375
2169.7 2275.468085106383 2205.090909090909
